poi	9999	2	0	1	6071.004401454106	24651.505170231816	59.0	6193	24990	4	0.00005479
poi	9998	2	1	1	11704.31352557734	23183.08970047495	100.5	11906	22694	5	0.00008309
poi	9997	2	4	1	12463.736650056439	15433.274811123652	12.5625	12413	15422	3	0.00008369
poi	9996	2	0	1	14442.456019850342	23808.64340920167	39.0	14489	23722	4	0.00009112
poi	9995	2	4	1	12927.382409973627	12310.119511617107	12.5625	13137	12346	2	0.00006800
poi	9994	2	0	1	13775.344964881038	8715.113323083408	59.0	13770	8629	3	0.00005176
poi	9993	2	1	1	18476.811001925562	26614.797062788875	89.00000000000001	18771	26634	5	0.00005126
poi	9992	2	1	1	4598.843352738519	18642.940039200304	58.99999999999999	4265	18700	3	0.00005140
poi	9991	2	0	1	7144.828876163639	8656.675679271613	134.0	7669	9180	4	0.00007697
poi	9990	2	3	1	10748.910687632278	4496.491812848734	25.125	10784	4589	4	0.00007378
poi	9989	2	0	1	15826.162241831864	15509.6519173562	59.0	15795	15483	3	0.00005323
poi	9988	2	1	1	17839.417573168284	17723.95180004012	26.0	17836	17780	2	0.00009997
poi	9987	2	1	1	15288.670373160932	13203.780050495074	59.00000000000001	15348	13129	2	0.00009386
poi	9986	2	0	1	11286.513693742	11260.632773368709	59.0	11276	11265	4	0.00009159
poi	9985	2	4	1	11480.890960533674	24770.42870312765	12.5625	11640	24394	2	0.00009764
poi	9984	2	1	1	16019.468096485944	29255.52567025361	19.0	16210	29174	3	0.00005401
poi	9983	2	0	1	16466.33132506412	28726.486445893945	39.0	16615	28657	4	0.00009413
poi	9982	2	1	1	11944.305562660384	24831.1573103081	59.0	11952	24726	2	0.00007657
poi	9981	2	2	1	3658.0672212274935	20444.042344006255	50.25	3851	20308	4	0.00007962
poi	9980	2	2	1	7895.358773065426	20440.190797990697	50.25	7892	20415	5	0.00008565
poi	9979	2	1	1	10834.766750708288	19661.261377242914	59.00000000000001	10835	19662	4	0.00007589
poi	9978	2	1	1	11293.515859504148	8508.152210923417	19.0	11310	8463	3	0.00009028
poi	9977	2	0	1	14435.142553242398	19519.484681024154	59.00000000000001	14430	19502	2	0.00008266
poi	9976	2	0	1	13419.055837730966	5709.363359980591	134.0	13461	5489	2	0.00009572
poi	9975	2	1	1	11606.28406633776	4648.098470827906	59.0	11589	4498	2	0.00005633
poi	9974	2	1	1	6823.533640571664	21879.573980834874	59.0	6785	21927	5	0.00006612
poi	9973	2	0	1	3103.349140550984	17820.27534617377	134.0	3243	17837	3	0.00005975
poi	9972	2	1	1	13926.943714274787	14682.36211455016	29.0	13917	14923	3	0.00009951
poi	9971	2	0	1	12487.77400117738	18324.390163726137	59.0	12504	18184	3	0.00006044
poi	9970	2	0	1	11635.577614303045	16433.283464009706	19.0	11669	16452	3	0.00006458
poi	9969	2	1	1	10956.18854095649	5329.195846742349	59.0	11063	5444	5	0.00005969
poi	9968	2	0	1	6548.093060529407	19386.708784609975	59.0	6722	19330	4	0.00005483
poi	9967	2	0	1	12420.534921790675	20254.876096056916	58.99999999999999	12632	20318	5	0.00008498
poi	9966	2	0	1	14465.906865195611	21017.020473904075	134.0	14614	21078	2	0.00006790
poi	9965	2	1	1	10445.831768243996	14892.26986713342	59.0	10650	15130	5	0.00009283
poi	9964	2	0	1	16937.727351026035	22950.519109651013	29.0	16814	23103	5	0.00008926
poi	9963	2	0	1	10967.134219201103	27235.977417621547	59.0	10804	27247	4	0.00009952
poi	9962	2	0	1	13206.64845396584	7645.960902650236	59.0	12758	7676	4	0.00005014
poi	9961	2	4	1	10176.001179743107	21074.091726955037	12.5625	10214	20961	4	0.00009691
poi	9960	2	0	1	15307.627354726468	14741.62659950338	59.0	15327	14913	5	0.00007095
poi	9959	2	1	1	13706.067250826622	19668.246999397197	29.0	13465	19572	5	0.00005961
poi	9958	2	0	1	10402.311024300347	15151.39370263731	59.0	10404	15156	5	0.00007741
poi	9957	2	0	1	8304.440459737776	13559.15027163126	59.0	8248	13470	5	0.00008136
poi	9956	2	1	1	10130.942561322227	13784.976377531795	59.0	10177	14029	2	0.00008954
poi	9955	2	0	1	15844.89721856961	8143.540895692101	59.0	15915	8343	2	0.00005374
poi	9954	2	4	1	3511.7927179577823	19991.96625544951	12.5625	3310	20041	5	0.00008472
poi	9953	2	2	1	14443.63865039619	16585.839400176086	39.0	14489	16606	2	0.00005826
poi	9952	2	2	1	11276.51474879613	16850.091281421177	50.25000000000001	11291	16854	2	0.00008844
poi	9951	2	1	1	9324.700818832218	7993.315347486857	59.0	9388	8045	5	0.00006097
poi	9950	2	0	1	13738.691136378924	24516.750944258038	59.0	13687	24666	3	0.00006698
poi	9949	2	0	1	9126.722647203691	13451.445993610738	59.00000000000001	8933	13579	3	0.00007938
poi	9948	2	1	1	23830.776149561065	16270.689857603491	26.0	23109	16634	5	0.00009132
