62	876	111
55	62	110
59	524	109
632	814	108
62	187	108
135	219	107
42	75	107
62	449	107
62	799	106
135	646	106
135	150	106
62	637	106
444	882	105
35	384	105
115	443	105
566	687	105
62	742	105
135	566	105
290	384	105
135	705	105
135	696	105
59	424	104
42	784	104
384	759	104
153	876	104
59	150	104
443	814	104
62	102	103
242	814	103
59	831	103
322	341	103
814	996	103
524	807	103
282	422	103
524	876	103
341	422	103
59	804	103
457	876	103
457	882	103
115	505	103
62	556	102
135	287	102
384	553	102
186	920	102
187	754	102
30	687	102
135	663	102
705	732	102
52	468	102
786	831	102
135	483	102
115	663	102
135	509	102
62	343	102
346	424	102
115	300	102
30	827	102
341	882	102
115	468	102
42	115	102
62	315	101
341	814	101
42	624	101
154	384	101
35	153	101
135	870	101
416	917	101
566	686	101
62	691	101
473	813	101
631	786	101
335	563	101
424	563	101
443	831	101
548	814	101
62	424	101
135	907	101
115	848	101
59	126	101
150	791	101
322	831	101
135	686	101
579	876	101
62	592	101
24	30	100
505	507	100
187	614	100
45	144	100
115	509	100
876	933	100
62	367	100
341	444	100
238	327	100
493	814	100
422	920	100
62	371	100
59	786	100
153	804	100
28	447	100
59	967	100
125	187	100
144	814	100
759	810	100
395	505	100
322	799	100
30	35	100
422	876	100
238	930	100
805	876	100
24	42	100
59	283	100
219	443	100
115	221	100
187	205	100
135	968	100
115	686	100
238	299	100
493	563	100
135	338	100
135	410	100
441	804	100
341	786	100
186	345	100
566	865	99
341	641	99
187	786	99
115	425	99
80	457	99
35	663	99
62	608	99
144	646	99
89	900	99
565	814	99
565	631	99
632	696	99
175	565	99
320	565	99
144	827	99
663	840	99
11	443	99
115	382	99
493	505	99
457	823	99
164	341	99
62	397	99
153	672	99
416	759	99
341	935	99
579	818	99
637	977	99
259	807	99
135	294	99
93	188	99
447	759	99
205	384	99
663	885	99
279	813	99
62	272	99
187	310	99
137	807	99
19	759	99
115	498	99
422	646	99
141	806	99
443	767	99
238	422	99
62	959	99
500	672	99
24	759	99
384	387	99
804	830	99
271	870	99
524	853	99
35	59	99
443	566	99
424	742	99
135	447	99
422	632	99
384	422	99
144	797	99
135	996	99
62	363	99
188	666	99
416	754	98
721	876	98
690	797	98
30	382	98
115	422	98
579	847	98
24	153	98
553	865	98
184	814	98
330	457	98
500	691	98
369	447	98
441	882	98
232	810	98
346	732	98
290	537	98
494	705	98
420	760	98
462	786	98
565	830	98
563	754	98
71	219	98
422	922	98
115	890	98
425	759	98
659	805	98
290	548	98
732	876	98
93	255	98
219	237	98
42	767	98
236	500	98
1	579	98
52	786	98
242	563	98
70	524	98
59	873	98
281	341	98
242	876	98
804	807	98
205	742	98
30	395	98
134	814	98
62	149	98
363	632	98
643	867	98
310	786	98
507	814	98
753	933	98
548	563	98
283	614	98
483	813	98
153	730	98
115	152	98
635	705	98
424	457	98
384	812	98
443	983	98
30	457	98
393	705	98
153	566	98
690	882	98
144	873	98
232	563	98
9	882	98
182	797	98
75	566	98
287	473	98
224	900	98
341	676	98
135	140	98
125	807	98
30	303	98
759	900	98
55	814	98
137	687	98
59	609	98
696	784	97
310	579	97
565	735	97
477	810	97
62	820	97
313	730	97
30	232	97
281	441	97
51	566	97
182	566	97
117	424	97
24	93	97
369	401	97
45	186	97
59	782	97
631	791	97
690	876	97
441	759	97
797	879	97
841	876	97
115	875	97
28	271	97
219	879	97
615	759	97
730	841	97
107	290	97
663	827	97
175	505	97
232	416	97
384	672	97
287	814	97
59	191	97
310	566	97
62	395	97
238	691	97
115	959	97
30	919	97
82	187	97
135	429	97
154	813	97
237	566	97
322	614	97
646	659	97
142	150	97
424	753	97
756	900	97
813	841	97
362	565	97
812	882	97
144	631	97
93	154	97
137	743	97
153	493	97
381	813	97
237	967	97
59	922	97
563	935	97
62	431	97
327	732	97
45	524	97
579	875	97
137	650	97
500	756	97
814	930	97
420	814	97
424	657	97
443	568	97
150	565	97
135	765	97
563	805	97
238	745	97
416	767	97
457	754	97
115	271	97
125	362	97
797	807	97
186	967	97
505	799	97
759	949	97
42	781	97
477	981	97
786	996	97
108	814	97
42	449	97
135	491	97
457	877	97
524	754	97
59	741	97
187	255	97
219	682	97
142	500	96
187	425	96
330	799	96
303	341	96
322	754	96
579	754	96
565	633	96
272	882	96
62	716	96
238	505	96
59	271	96
748	882	96
659	919	96
125	290	96
93	726	96
42	909	96
184	203	96
287	920	96
42	984	96
875	900	96
135	217	96
111	865	96
53	135	96
30	252	96
154	540	96
9	401	96
80	813	96
62	302	96
290	738	96
11	786	96
144	682	96
42	983	96
59	701	96
692	882	96
9	759	96
115	977	96
28	229	96
125	933	96
55	807	96
442	443	96
843	984	96
799	878	96
509	566	96
135	324	96
42	238	96
327	445	96
696	807	96
443	933	96
457	804	96
320	422	96
45	933	96
186	614	96
320	981	96
205	791	96
125	282	96
516	882	96
341	682	96
80	900	96
457	696	96
59	767	96
205	281	96
786	797	96
59	791	96
614	968	96
35	737	96
322	646	96
320	767	96
298	930	96
282	841	96
93	126	96
441	905	96
144	497	96
140	153	96
548	920	96
422	883	96
62	429	96
150	957	96
125	444	96
806	813	96
242	786	96
282	483	96
128	283	96
137	589	96
255	422	96
219	742	96
420	563	96
444	643	96
344	814	96
238	732	96
217	563	96
229	384	96
384	566	96
175	229	96
62	766	96
62	70	96
322	738	95
30	345	95
281	566	95
153	716	95
187	523	95
592	737	95
238	338	95
663	860	95
128	983	95
59	421	95
876	909	95
30	142	95
831	957	95
735	933	95
110	186	95
28	303	95
384	802	95
814	877	95
59	219	95
55	153	95
125	524	95
418	663	95
322	687	95
217	579	95
416	797	95
303	384	95
93	659	95
211	807	95
410	867	95
126	805	95
59	518	95
363	579	95
219	860	95
643	814	95
115	247	95
82	282	95
443	742	95
62	863	95
93	797	95
320	666	95
149	229	95
188	287	95
452	579	95
310	441	95
673	784	95
89	797	95
287	422	95
30	803	95
592	659	95
131	141	95
42	996	95
205	565	95
152	186	95
186	415	95
422	767	95
563	812	95
813	956	95
59	252	95
322	468	95
327	686	95
232	418	95
184	187	95
153	843	95
252	579	95
279	288	95
363	696	95
126	843	95
115	497	95
623	804	95
184	362	95
186	848	95
126	799	95
30	983	95
187	590	95
59	686	95
624	797	95
186	695	95
444	930	95
369	745	95
505	508	95
418	804	95
115	682	95
30	922	95
135	177	95
327	524	95
412	806	95
42	320	95
135	905	95
62	883	95
422	754	95
24	473	95
242	346	95
150	695	95
534	751	95
281	666	95
59	527	95
563	569	95
289	876	95
276	524	95
182	921	95
384	827	95
180	341	95
290	462	95
565	790	95
24	663	95
134	444	95
144	437	95
53	144	95
219	925	95
449	975	95
62	552	95
232	983	95
290	996	95
447	807	95
30	692	95
558	920	95
424	799	95
62	979	95
71	384	95
219	873	95
449	742	95
135	426	95
28	237	95
30	80	95
153	945	95
280	384	95
420	686	95
393	579	95
